Timestamp,Temperature
17.1.2015 klo 11.15.04,"0,56"
17.1.2015 klo 11.20.04,"0,50"
17.1.2015 klo 11.25.04,"0,44"
17.1.2015 klo 11.30.04,"0,38"
17.1.2015 klo 11.35.04,"0,38"
17.1.2015 klo 11.40.04,"0,31"
17.1.2015 klo 11.45.04,"0,38"
17.1.2015 klo 11.50.05,"0,25"
17.1.2015 klo 11.55.04,"0,25"
17.1.2015 klo 12.00.05,"0,44"
17.1.2015 klo 12.05.04,"0,44"
17.1.2015 klo 12.10.04,"0,50"
17.1.2015 klo 12.15.04,"0,50"
17.1.2015 klo 12.20.04,"0,56"
17.1.2015 klo 12.25.04,"0,56"
17.1.2015 klo 12.30.04,"0,56"
17.1.2015 klo 12.35.04,"0,44"
17.1.2015 klo 12.40.04,"0,50"
17.1.2015 klo 12.45.04,"0,56"
17.1.2015 klo 12.50.05,"0,50"
17.1.2015 klo 12.55.04,"0,50"
17.1.2015 klo 13.00.05,"0,50"
17.1.2015 klo 13.05.46,"0,63"
17.1.2015 klo 13.10.06,"0,69"
17.1.2015 klo 13.15.06,"0,56"
17.1.2015 klo 13.20.06,"0,50"
17.1.2015 klo 13.25.06,"0,50"
17.1.2015 klo 13.30.15,"0,38"
17.1.2015 klo 13.35.05,"0,38"
17.1.2015 klo 13.40.06,"0,44"
17.1.2015 klo 13.45.06,"0,31"
17.1.2015 klo 13.50.06,"0,38"
17.1.2015 klo 13.55.06,"0,38"
17.1.2015 klo 14.00.07,"0,25"
17.1.2015 klo 14.05.06,"0,19"
17.1.2015 klo 14.10.06,"0,19"
17.1.2015 klo 14.15.07,"0,19"
17.1.2015 klo 14.20.06,"0,19"
17.1.2015 klo 14.25.06,"0,00"
17.1.2015 klo 14.30.07,"0,13"
17.1.2015 klo 14.35.06,"0,13"
17.1.2015 klo 14.40.22,"0,00"
17.1.2015 klo 14.45.05,"0,06"
17.1.2015 klo 14.50.06,"0,06"
17.1.2015 klo 14.55.06,"0,06"
17.1.2015 klo 15.00.07,"0,00"
17.1.2015 klo 15.05.06,"−0,13"
17.1.2015 klo 15.10.05,"0,06"
17.1.2015 klo 15.15.06,"0,00"
17.1.2015 klo 15.20.05,"0,06"
17.1.2015 klo 15.25.10,"−0,19"
17.1.2015 klo 15.30.05,"−0,06"
17.1.2015 klo 15.35.05,"−0,06"
17.1.2015 klo 15.40.05,"0,00"
17.1.2015 klo 15.50.04,"−0,13"
17.1.2015 klo 15.55.05,"−0,13"
17.1.2015 klo 16.00.05,"−0,13"
17.1.2015 klo 16.05.05,"−0,13"
17.1.2015 klo 16.10.05,"−0,19"
17.1.2015 klo 16.15.06,"−0,13"
17.1.2015 klo 16.20.05,"−0,13"
17.1.2015 klo 16.25.06,"−0,13"
17.1.2015 klo 16.30.05,"−0,25"
17.1.2015 klo 16.35.06,"−0,19"
17.1.2015 klo 16.40.05,"−0,19"
17.1.2015 klo 16.45.05,"−0,19"
17.1.2015 klo 16.50.10,"−0,25"
17.1.2015 klo 16.55.04,"−0,25"
17.1.2015 klo 17.00.06,"−0,25"
17.1.2015 klo 17.05.05,"−0,25"
17.1.2015 klo 17.10.05,"−0,31"
17.1.2015 klo 17.15.05,"−0,38"
17.1.2015 klo 17.20.06,"−0,31"
17.1.2015 klo 17.25.05,"−0,31"
17.1.2015 klo 17.30.06,"−0,38"
17.1.2015 klo 17.35.05,"−0,31"
17.1.2015 klo 17.40.05,"−0,31"
17.1.2015 klo 17.45.05,"−0,31"
17.1.2015 klo 17.50.06,"−0,31"
17.1.2015 klo 17.55.05,"−0,31"
17.1.2015 klo 18.00.06,"−0,31"
17.1.2015 klo 18.05.05,"−0,38"
17.1.2015 klo 18.10.06,"−0,44"
17.1.2015 klo 18.15.06,"−0,50"
17.1.2015 klo 18.20.06,"−0,38"
17.1.2015 klo 18.25.06,"−0,38"
17.1.2015 klo 18.30.06,"−0,44"
17.1.2015 klo 18.35.06,"−0,50"
17.1.2015 klo 18.40.06,"−0,50"
17.1.2015 klo 18.45.06,"−0,56"
17.1.2015 klo 18.50.06,"−0,50"
17.1.2015 klo 18.55.06,"−0,31"
17.1.2015 klo 19.00.50,"−0,44"
17.1.2015 klo 19.05.06,"−0,38"
17.1.2015 klo 19.10.06,"−0,44"
17.1.2015 klo 19.15.06,"−0,56"
17.1.2015 klo 19.20.06,"−0,69"
17.1.2015 klo 19.25.06,"−0,69"
17.1.2015 klo 19.30.20,"−0,75"
17.1.2015 klo 19.35.05,"−0,63"
17.1.2015 klo 19.40.05,"−0,56"
17.1.2015 klo 19.45.04,"−0,75"
17.1.2015 klo 19.50.04,"−0,81"
17.1.2015 klo 19.55.04,"−0,56"
17.1.2015 klo 20.00.04,"−0,75"
17.1.2015 klo 20.05.04,"−0,63"
17.1.2015 klo 20.10.04,"−0,69"
17.1.2015 klo 20.15.04,"−0,56"
17.1.2015 klo 20.20.04,"−0,75"
17.1.2015 klo 20.25.08,"−0,56"
17.1.2015 klo 20.30.05,"−0,63"
17.1.2015 klo 20.35.05,"−0,56"
17.1.2015 klo 20.40.04,"−0,63"
17.1.2015 klo 20.45.04,"−0,69"
17.1.2015 klo 20.50.04,"−0,63"
17.1.2015 klo 20.55.05,"−0,69"
17.1.2015 klo 21.00.04,"−0,81"
17.1.2015 klo 21.05.04,"−0,75"
17.1.2015 klo 21.10.05,"−0,63"
17.1.2015 klo 21.15.05,"−0,63"
17.1.2015 klo 21.20.04,"−0,63"
17.1.2015 klo 21.25.04,"−0,56"
17.1.2015 klo 21.30.06,"−0,63"
17.1.2015 klo 21.35.05,"−0,56"
17.1.2015 klo 21.40.05,"−0,63"
17.1.2015 klo 21.45.04,"−0,63"
17.1.2015 klo 21.50.05,"−0,63"
17.1.2015 klo 21.55.04,"−0,56"
17.1.2015 klo 22.00.04,"−0,56"
17.1.2015 klo 22.05.06,"−0,50"
17.1.2015 klo 22.10.04,"−0,56"
17.1.2015 klo 22.15.05,"−0,56"
17.1.2015 klo 22.20.05,"−0,63"
17.1.2015 klo 22.25.05,"−0,56"
17.1.2015 klo 22.30.05,"−0,56"
17.1.2015 klo 22.35.04,"−0,63"
17.1.2015 klo 22.40.04,"−0,69"
17.1.2015 klo 22.45.04,"−0,63"
17.1.2015 klo 22.50.05,"−0,63"
17.1.2015 klo 22.55.04,"−0,63"
17.1.2015 klo 23.00.05,"−0,69"
17.1.2015 klo 23.05.06,"−0,69"
17.1.2015 klo 23.10.05,"−0,69"
17.1.2015 klo 23.15.04,"−0,75"
17.1.2015 klo 23.20.06,"−0,69"
17.1.2015 klo 23.25.06,"−0,75"
17.1.2015 klo 23.30.05,"−0,75"
17.1.2015 klo 23.35.04,"−0,81"
17.1.2015 klo 23.40.06,"−0,69"
17.1.2015 klo 23.45.05,"−0,75"
17.1.2015 klo 23.50.06,"−0,69"
17.1.2015 klo 23.55.06,"−0,69"
18.1.2015 klo 0.00.13,"−0,69"
18.1.2015 klo 0.05.05,"−0,69"
18.1.2015 klo 0.10.07,"−0,63"
18.1.2015 klo 0.15.06,"−0,63"
18.1.2015 klo 0.20.06,"−0,56"
18.1.2015 klo 0.25.05,"−0,56"
18.1.2015 klo 0.30.06,"−0,56"
18.1.2015 klo 0.35.06,"−0,63"
18.1.2015 klo 0.40.06,"−0,56"
18.1.2015 klo 0.45.06,"−0,63"
18.1.2015 klo 0.50.06,"−0,56"
18.1.2015 klo 0.55.06,"−0,56"
18.1.2015 klo 1.00.06,"−0,63"
18.1.2015 klo 1.05.06,"−0,63"
18.1.2015 klo 1.10.06,"−0,63"
18.1.2015 klo 1.15.06,"−0,69"
18.1.2015 klo 1.20.06,"−0,56"
18.1.2015 klo 1.25.06,"−0,63"
18.1.2015 klo 1.30.05,"−0,56"
18.1.2015 klo 1.35.06,"−0,63"
18.1.2015 klo 1.40.05,"−0,69"
18.1.2015 klo 1.45.06,"−0,63"
18.1.2015 klo 1.50.05,"−0,63"
18.1.2015 klo 1.55.06,"−0,56"
18.1.2015 klo 2.00.06,"−0,56"
18.1.2015 klo 2.05.06,"−0,56"
18.1.2015 klo 2.10.07,"−0,69"
18.1.2015 klo 2.15.06,"−0,56"
18.1.2015 klo 2.20.06,"−0,56"
18.1.2015 klo 2.25.06,"−0,56"
18.1.2015 klo 2.30.06,"−0,63"
18.1.2015 klo 2.35.06,"−0,63"
18.1.2015 klo 2.40.06,"−0,63"
18.1.2015 klo 2.45.06,"−0,63"
18.1.2015 klo 2.50.15,"−0,63"
18.1.2015 klo 2.55.05,"−0,63"
18.1.2015 klo 3.00.06,"−0,63"
18.1.2015 klo 3.05.06,"−0,69"
18.1.2015 klo 3.15.06,"−0,69"
18.1.2015 klo 3.20.06,"−0,75"
18.1.2015 klo 3.25.06,"−0,81"
18.1.2015 klo 3.30.06,"−0,88"
18.1.2015 klo 3.35.06,"−0,88"
18.1.2015 klo 3.40.06,"−1,00"
18.1.2015 klo 3.45.06,"−0,94"
18.1.2015 klo 3.50.05,"−1,00"
18.1.2015 klo 3.55.06,"−1,00"
18.1.2015 klo 4.00.06,"−1,00"
18.1.2015 klo 4.05.23,"−1,00"
18.1.2015 klo 4.10.06,"−1,00"
18.1.2015 klo 4.15.05,"−1,00"
18.1.2015 klo 4.20.06,"−1,00"
18.1.2015 klo 4.25.06,"−1,00"
18.1.2015 klo 4.30.16,"−1,00"
18.1.2015 klo 4.35.07,"−1,00"
18.1.2015 klo 4.40.06,"−1,00"
18.1.2015 klo 4.45.06,"−1,00"
18.1.2015 klo 4.50.07,"−1,06"
18.1.2015 klo 4.55.06,"−1,00"
18.1.2015 klo 5.00.06,"−1,00"
18.1.2015 klo 5.05.06,"−1,06"
18.1.2015 klo 5.10.06,"−1,06"
18.1.2015 klo 5.15.06,"−1,13"
18.1.2015 klo 5.20.06,"−1,13"
18.1.2015 klo 5.25.05,"−1,13"
18.1.2015 klo 5.30.06,"−1,13"
18.1.2015 klo 5.35.06,"−1,06"
18.1.2015 klo 5.40.08,"−1,25"
18.1.2015 klo 5.45.05,"−1,19"
18.1.2015 klo 5.50.06,"−1,19"
18.1.2015 klo 5.55.06,"−1,19"
18.1.2015 klo 6.00.06,"−1,19"
18.1.2015 klo 6.05.06,"−1,19"
18.1.2015 klo 6.10.06,"−1,19"
18.1.2015 klo 6.15.06,"−1,25"
18.1.2015 klo 6.20.06,"−1,38"
18.1.2015 klo 6.25.06,"−1,19"
18.1.2015 klo 6.30.06,"−1,38"
18.1.2015 klo 6.35.06,"−1,44"
18.1.2015 klo 6.40.11,"−1,44"
18.1.2015 klo 6.45.06,"−1,50"
18.1.2015 klo 6.50.06,"−1,50"
18.1.2015 klo 6.55.05,"−1,56"
18.1.2015 klo 7.00.06,"−1,56"
